Risk of Ruin: 1.00, UPRO Daily Fail 1 / 50000 
Days:	50	100	150	200	250	300	350	400	450	500	550	0	
0.	     56	    137	    186	    273	    376	    451	    526	    601	    818	    909	    909	      0	
1.	     57	    150	    188	    275	    377	    453	    536	    630	    821	    924	    924	      0	
2.	     57	    151	    190	    277	    378	    454	    546	    661	    824	    938	    938	      0	
3.	     57	    151	    192	    278	    379	    456	    557	    664	    827	    953	    953	      0	
4.	     57	    151	    194	    280	    380	    458	    568	    666	    830	    969	    969	      0	
5.	     57	    152	    195	    282	    381	    460	    579	    669	    833	    984	    984	      0	
6.	     57	    152	    197	    284	    382	    462	    592	    671	    836	   1000	   1000	      0	
7.	     57	    152	    199	    286	    383	    463	    607	    674	    839	   1003	   1024	      0	
8.	     58	    153	    201	    287	    384	    465	    621	    676	    842	   1006	   1049	      0	
9.	     58	    153	    203	    289	    385	    467	    636	    679	    845	   1008	   1074	      0	
10.	     58	    153	    205	    291	    386	    469	    638	    682	    848	   1011	   1100	      0	
11.	     58	    153	    205	    293	    387	    471	    639	    684	    851	   1014	   1127	      0	
12.	     58	    154	    206	    295	    388	    473	    641	    687	    854	   1017	   1154	      0	
13.	     58	    154	    207	    297	    389	    475	    643	    689	    857	   1020	   1182	      0	
14.	     58	    154	    207	    299	    390	    477	    644	    692	    860	   1023	   1210	      0	
15.	     59	    155	    208	    301	    391	    478	    646	    695	    863	   1026	   1239	      0	
16.	     59	    155	    208	    301	    392	    480	    647	    697	    866	   1028	   1269	      0	
17.	     59	    155	    209	    302	    393	    482	    649	    700	    869	   1031	   1300	      0	
18.	     59	    156	    210	    303	    395	    484	    651	    703	    872	   1034	   1331	      0	
19.	     59	    156	    210	    304	    396	    486	    652	    705	    875	   1037	   1353	      0	
20.	     59	    156	    211	    305	    397	    488	    654	    708	    878	   1040	   1376	      0	
21.	     59	    157	    211	    306	    398	    490	    655	    711	    881	   1043	   1399	      0	
22.	     60	    157	    212	    306	    399	    492	    657	    714	    884	   1046	   1423	      0	
23.	     60	    157	    213	    307	    400	    494	    659	    716	    887	   1049	   1447	      0	
24.	     60	    158	    213	    308	    401	    496	    660	    719	    891	   1052	   1471	      0	
25.	     60	    158	    214	    309	    402	    498	    662	    722	    894	   1055	   1496	      0	
26.	     60	    158	    214	    310	    403	    500	    663	    725	    897	   1058	   1522	      0	
27.	     60	    159	    215	    311	    404	    502	    665	    727	    900	   1061	   1547	      0	
28.	     60	    159	    216	    312	    405	    505	    667	    731	    906	   1064	   1573	      0	
29.	     61	    159	    216	    313	    407	    507	    668	    735	    912	   1067	   1600	      0	
30.	     61	    160	    217	    313	    408	    509	    670	    739	    919	   1070	   1627	      0	
31.	     61	    160	    217	    314	    409	    511	    672	    743	    925	   1073	   1654	      0	
32.	     61	    160	    218	    315	    410	    513	    673	    747	    931	   1076	   1682	      0	
33.	     61	    161	    219	    316	    411	    516	    675	    751	    938	   1079	   1710	      0	
34.	     61	    161	    219	    317	    412	    518	    676	    755	    944	   1082	   1739	      0	
35.	     61	    161	    220	    318	    413	    520	    678	    759	    950	   1085	   1769	      0	
36.	     62	    162	    220	    319	    415	    522	    680	    763	    957	   1088	   1798	      0	
37.	     62	    162	    221	    320	    417	    525	    681	    767	    963	   1091	   1829	      0	
38.	     62	    163	    222	    321	    418	    527	    683	    771	    970	   1094	   1860	      0	
39.	     62	    163	    222	    321	    420	    529	    685	    775	    977	   1097	   1891	      0	
40.	     62	    163	    223	    322	    422	    531	    686	    779	    983	   1100	   1923	      0	
41.	     62	    164	    224	    323	    424	    534	    688	    783	    990	   1108	   1955	      0	
42.	     63	    164	    224	    324	    425	    536	    690	    787	   1006	   1116	   1988	      0	
43.	     63	    164	    225	    325	    427	    538	    691	    792	   1022	   1124	   2022	      0	
