Risk of Ruin: 1.00, UPRO Daily Fail 1 / 50000 
Days:	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	
0.	     51	    113	    169	    226	    310	    373	    435	    497	    559	    621	    751	    820	    888	    956	   1025	   1093	   1161	   1229	   1298	   1366	
1.	     53	    113	    171	    237	    312	    376	    440	    506	    577	    651	    757	    827	    897	    968	   1041	   1110	   1183	   1269	   1340	   1433	
2.	     55	    114	    173	    248	    314	    379	    445	    516	    595	    683	    762	    834	    907	    979	   1058	   1128	   1206	   1310	   1383	   1503	
3.	     56	    115	    176	    249	    316	    382	    450	    526	    615	    688	    768	    841	    917	    991	   1075	   1146	   1229	   1352	   1427	   1517	
4.	     57	    115	    178	    251	    318	    385	    456	    536	    619	    693	    774	    849	    926	   1003	   1092	   1165	   1253	   1364	   1441	   1532	
5.	     57	    116	    180	    252	    320	    388	    461	    546	    623	    698	    779	    856	    936	   1015	   1109	   1183	   1277	   1376	   1455	   1546	
6.	     57	    116	    182	    253	    322	    391	    467	    550	    627	    703	    785	    863	    946	   1027	   1127	   1202	   1288	   1388	   1469	   1561	
7.	     57	    117	    184	    254	    324	    394	    472	    553	    631	    709	    791	    871	    956	   1039	   1136	   1214	   1300	   1400	   1483	   1576	
8.	     57	    118	    186	    255	    326	    397	    478	    556	    635	    714	    797	    878	    966	   1052	   1145	   1225	   1311	   1412	   1497	   1591	
9.	     57	    118	    187	    256	    328	    400	    481	    560	    639	    719	    803	    886	    977	   1060	   1154	   1237	   1322	   1425	   1512	   1606	
10.	     57	    119	    188	    258	    330	    403	    484	    563	    643	    724	    808	    894	    984	   1069	   1163	   1249	   1334	   1437	   1526	   1622	
11.	     58	    119	    189	    259	    331	    407	    487	    566	    647	    730	    814	    902	    992	   1077	   1173	   1261	   1345	   1449	   1541	   1637	
12.	     58	    120	    189	    260	    333	    410	    490	    570	    651	    735	    820	    909	   1000	   1086	   1182	   1273	   1357	   1462	   1555	   1653	
13.	     58	    121	    190	    261	    335	    412	    493	    573	    655	    740	    826	    916	   1008	   1094	   1191	   1285	   1369	   1475	   1570	   1669	
14.	     58	    121	    191	    262	    337	    415	    496	    577	    659	    746	    833	    923	   1016	   1103	   1201	   1297	   1381	   1488	   1585	   1685	
15.	     58	    122	    192	    263	    339	    417	    498	    580	    663	    751	    839	    931	   1024	   1112	   1210	   1310	   1393	   1502	   1600	   1701	
16.	     58	    122	    193	    265	    342	    420	    501	    583	    668	    757	    845	    938	   1033	   1121	   1220	   1322	   1405	   1516	   1616	   1717	
17.	     58	    123	    193	    266	    343	    422	    504	    587	    672	    762	    851	    946	   1041	   1130	   1230	   1335	   1420	   1531	   1631	   1734	
18.	     59	    124	    194	    267	    345	    425	    507	    590	    676	    768	    857	    953	   1049	   1139	   1240	   1348	   1435	   1545	   1647	   1750	
19.	     59	    124	    195	    268	    347	    427	    510	    594	    681	    774	    864	    961	   1057	   1148	   1250	   1361	   1450	   1560	   1663	   1767	
20.	     59	    125	    196	    270	    349	    430	    514	    597	    686	    779	    870	    968	   1066	   1157	   1261	   1374	   1466	   1575	   1679	   1784	
21.	     59	    125	    197	    271	    351	    432	    517	    601	    691	    785	    876	    976	   1074	   1168	   1272	   1387	   1481	   1590	   1695	   1801	
22.	     59	    126	    197	    272	    353	    435	    520	    605	    696	    791	    883	    984	   1083	   1179	   1283	   1400	   1497	   1605	   1711	   1818	
23.	     59	    126	    198	    273	    355	    438	    523	    610	    701	    797	    889	    992	   1092	   1191	   1295	   1414	   1513	   1621	   1727	   1840	
24.	     60	    126	    199	    275	    357	    440	    526	    614	    707	    803	    896	   1000	   1100	   1202	   1306	   1427	   1529	   1636	   1744	   1862	
25.	     60	    127	    200	    276	    359	    443	    530	    619	    712	    808	    902	   1009	   1109	   1213	   1317	   1441	   1545	   1652	   1761	   1884	
26.	     60	    127	    201	    278	    361	    445	    533	    623	    717	    814	    909	   1018	   1118	   1225	   1329	   1455	   1560	   1668	   1777	   1907	
